dataset,n_images,width_mean,width_median,height_mean,height_median,megapixels_mean,megapixels_median,brightness_mean_mean,brightness_mean_median,contrast_std_mean,contrast_std_median,p1_mean,p99_mean,pct_black_mean,pct_white_mean
SYKE_plankton_IFCB_Utö_2021,10000,135.6649,96.0,52.579,50.0,0.007537499099999999,0.005104,0.6707135694137274,0.6713971904679841,0.09051789469718934,0.08617156159644034,0.322214719506058,0.7810306578871783,0.0,9.287284005964402e-06
smhi_ifcb_svea_baltic_proper,10000,279.0892,160.0,79.064,50.0,0.027956296,0.0112,0.6985419457110236,0.690159397499234,0.18346599153369084,0.17183926152248008,0.11136655119503243,0.8808792189414829,0.0002913498479589411,0.004009023896123173
smhi_ifcb_svea_skagerrak_kattegat,2657,195.8178396687994,120.0,64.0940910801656,50.0,0.013297258562288295,0.00792,0.6625475151824743,0.6602196188534007,0.17183096094904296,0.15846741620232077,0.10742944479261363,0.9104640368699819,0.0003152952210968038,0.005787508148833796
smhi_ifcb_tångesund,10000,156.0282,120.0,93.2612,74.0,0.0183673388,0.00888,0.6511522608947753,0.6628471224915747,0.2385934718543408,0.2643965478036918,0.07978307325550155,0.8839610259650738,0.00039020519790779537,0.00019366578498592753
